age65,2021-09-26,13082
age12-17,2021-09-26,4068
age5-11,2021-09-26,3
age18-49,2021-09-25,28047
age50-64,2021-09-25,10479
age65,2021-09-25,23135
age12-17,2021-09-25,9503
age5-11,2021-09-25,10
age18-49,2021-09-24,48950
age50-64,2021-09-24,16072
age65,2021-09-24,29096
age12-17,2021-09-24,14595
age5-11,2021-09-24,31
age18-49,2021-09-23,39117
age50-64,2021-09-23,11326
age65,2021-09-23,13322
age12-17,2021-09-23,8460
age5-11,2021-09-23,15
age18-49,2021-09-22,40977
age50-64,2021-09-22,11131
age65,2021-09-22,10845
age12-17,2021-09-22,9396
age5-11,2021-09-22,26
age18-49,2021-09-21,41794
age50-64,2021-09-21,11564
age65,2021-09-21,11634
age12-17,2021-09-21,9514
age5-11,2021-09-21,25
age18-49,2021-09-20,45639
age50-64,2021-09-20,12408
age65,2021-09-20,12464
age12-17,2021-09-20,9995
age5-11,2021-09-20,28
age18-49,2021-09-19,19097
age50-64,2021-09-19,4737
age65,2021-09-19,3729
age12-17,2021-09-19,5275
age5-11,2021-09-19,12
age18-49,2021-09-18,30730
age50-64,2021-09-18,8536
age65,2021-09-18,5962
age12-17,2021-09-18,11914
age5-11,2021-09-18,22
age18-49,2021-09-17,53600
age50-64,2021-09-17,15219
age65,2021-09-17,11151
age12-17,2021-09-17,16720
age5-11,2021-09-17,34
age18-49,2021-09-16,48614
age50-64,2021-09-16,12977
age65,2021-09-16,10122
age12-17,2021-09-16,11283
age5-11,2021-09-16,20
age18-49,2021-09-15,46881
age50-64,2021-09-15,12536
age65,2021-09-15,9581
age12-17,2021-09-15,11281
age5-11,2021-09-15,29
age18-49,2021-09-14,47715
age50-64,2021-09-14,12818
age65,2021-09-14,9867
age12-17,2021-09-14,10666
age5-11,2021-09-14,19
age18-49,2021-09-13,49785
age50-64,2021-09-13,13697
age65,2021-09-13,10108
age12-17,2021-09-13,11420
age5-11,2021-09-13,27
age18-49,2021-09-12,20749
age50-64,2021-09-12,5309
age65,2021-09-12,3262
age12-17,2021-09-12,6258
age5-11,2021-09-12,12
age18-49,2021-09-11,33610
age50-64,2021-09-11,9596
age65,2021-09-11,5579
age12-17,2021-09-11,14779
age5-11,2021-09-11,24
age18-49,2021-09-10,59237
age50-64,2021-09-10,17281
age65,2021-09-10,12385
age12-17,2021-09-10,19848
age5-11,2021-09-10,49
age18-49,2021-09-09,50265
age50-64,2021-09-09,14407
age65,2021-09-09,12339
age12-17,2021-09-09,12181
age5-11,2021-09-09,34
age18-49,2021-09-08,50472
age50-64,2021-09-08,14225
age65,2021-09-08,11912
age12-17,2021-09-08,13238
age5-11,2021-09-08,29
age18-49,2021-09-07,55845
age50-64,2021-09-07,15999
age65,2021-09-07,12576
age12-17,2021-09-07,14954
age5-11,2021-09-07,39
age18-49,2021-09-06,11302
age50-64,2021-09-06,3114
age65,2021-09-06,2075
age12-17,2021-09-06,3124
age5-11,2021-09-06,5
age18-49,2021-09-05,21188
age50-64,2021-09-05,5902
age65,2021-09-05,3961
age12-17,2021-09-05,7234
age5-11,2021-09-05,22
age18-49,2021-09-04,32463
age50-64,2021-09-04,9941
age65,2021-09-04,6514
age12-17,2021-09-04,15500
age5-11,2021-09-04,32
age18-49,2021-09-03,60557
age50-64,2021-09-03,19162
age65,2021-09-03,15268
age12-17,2021-09-03,24047
age5-11,2021-09-03,52
age18-49,2021-09-02,50570
age50-64,2021-09-02,15433
age65,2021-09-02,14482
age12-17,2021-09-02,14342
age5-11,2021-09-02,20
age18-49,2021-09-01,52464
age50-64,2021-09-01,15952
age65,2021-09-01,14378
age12-17,2021-09-01,15712
age5-11,2021-09-01,31
age18-49,2021-08-31,53962
age50-64,2021-08-31,16408
age65,2021-08-31,14504
age12-17,2021-08-31,16597
age5-11,2021-08-31,36
age18-49,2021-08-30,55248
age50-64,2021-08-30,16653
age65,2021-08-30,13733
age12-17,2021-08-30,16802
age5-11,2021-08-30,33
age18-49,2021-08-29,23439
age50-64,2021-08-29,6506
age65,2021-08-29,4626
age12-17,2021-08-29,8287
age5-11,2021-08-29,24
age18-49,2021-08-28,38978
age50-64,2021-08-28,11851
age65,2021-08-28,7906
age12-17,2021-08-28,19470
age5-11,2021-08-28,44
age18-49,2021-08-27,66703
age50-64,2021-08-27,20870
age65,2021-08-27,15114
age12-17,2021-08-27,26498
age5-11,2021-08-27,57
age18-49,2021-08-26,56545
age50-64,2021-08-26,16898
age65,2021-08-26,13821
age12-17,2021-08-26,17535
age5-11,2021-08-26,31
age18-49,2021-08-25,55690
age50-64,2021-08-25,16371
age65,2021-08-25,13132
age12-17,2021-08-25,18193
age5-11,2021-08-25,35
age18-49,2021-08-24,57935
age50-64,2021-08-24,17370
age65,2021-08-24,13667
age12-17,2021-08-24,18392
age5-11,2021-08-24,37
age18-49,2021-08-23,58012
age50-64,2021-08-23,17569
age65,2021-08-23,13488
age12-17,2021-08-23,17558
age5-11,2021-08-23,32
age18-49,2021-08-22,23480
age50-64,2021-08-22,6556
age65,2021-08-22,4311
age12-17,2021-08-22,7997
age5-11,2021-08-22,24
age18-49,2021-08-21,37925
age50-64,2021-08-21,12091
age65,2021-08-21,7717
age12-17,2021-08-21,18568
age5-11,2021-08-21,35
age18-49,2021-08-20,65563
age50-64,2021-08-20,21283
age65,2021-08-20,14866
age12-17,2021-08-20,25896
age5-11,2021-08-20,52
age18-49,2021-08-19,55542
age50-64,2021-08-19,16803
age65,2021-08-19,13125
age12-17,2021-08-19,16885
age5-11,2021-08-19,28
age18-49,2021-08-18,55671
age50-64,2021-08-18,16652
age65,2021-08-18,12457
age12-17,2021-08-18,17899
age5-11,2021-08-18,24
age18-49,2021-08-17,56015
age50-64,2021-08-17,16750
age65,2021-08-17,11388
age12-17,2021-08-17,18818
age5-11,2021-08-17,41
age18-49,2021-08-16,54015
age50-64,2021-08-16,16007
age65,2021-08-16,10353
age12-17,2021-08-16,17418
age5-11,2021-08-16,23
age18-49,2021-08-15,22513
age50-64,2021-08-15,6369
age65,2021-08-15,3516
age12-17,2021-08-15,8338
age5-11,2021-08-15,26
age18-49,2021-08-14,38087
age50-64,2021-08-14,11760
age65,2021-08-14,5400
age12-17,2021-08-14,18008
age5-11,2021-08-14,46
age18-49,2021-08-13,61479
age50-64,2021-08-13,17748
age65,2021-08-13,6685
age12-17,2021-08-13,26560
age5-11,2021-08-13,47
age18-49,2021-08-12,50634
age50-64,2021-08-12,14165
age65,2021-08-12,5762
age12-17,2021-08-12,19128
age5-11,2021-08-12,38
age18-49,2021-08-11,46959
age50-64,2021-08-11,13163
age65,2021-08-11,5129
age12-17,2021-08-11,19399
age5-11,2021-08-11,26
age18-49,2021-08-10,50303
age50-64,2021-08-10,13718
age65,2021-08-10,5634
age12-17,2021-08-10,22406
age5-11,2021-08-10,35
age18-49,2021-08-09,48410
age50-64,2021-08-09,13336
age65,2021-08-09,5106
age12-17,2021-08-09,21978
age5-11,2021-08-09,38
age18-49,2021-08-08,20392
age50-64,2021-08-08,5313
age65,2021-08-08,1658
age12-17,2021-08-08,8135
age5-11,2021-08-08,18
age18-49,2021-08-07,35229
age50-64,2021-08-07,10029
age65,2021-08-07,3044
age12-17,2021-08-07,16441
age5-11,2021-08-07,41
age18-49,2021-08-06,57209
age50-64,2021-08-06,16826
age65,2021-08-06,6046
age12-17,2021-08-06,25972
age5-11,2021-08-06,37
age18-49,2021-08-05,47559
age50-64,2021-08-05,13121
age65,2021-08-05,5471
age12-17,2021-08-05,21070
age5-11,2021-08-05,37
age18-49,2021-08-04,46996
age50-64,2021-08-04,12720
age65,2021-08-04,5361
age12-17,2021-08-04,20667
age5-11,2021-08-04,29
age18-49,2021-08-03,49347
age50-64,2021-08-03,13634
age65,2021-08-03,5524
age12-17,2021-08-03,22302
age5-11,2021-08-03,32
age18-49,2021-08-02,44270
age50-64,2021-08-02,12327
age65,2021-08-02,4828
age12-17,2021-08-02,19556
age5-11,2021-08-02,22
age18-49,2021-08-01,17813
age50-64,2021-08-01,4644
age65,2021-08-01,1512
age12-17,2021-08-01,6728
age5-11,2021-08-01,19
age18-49,2021-07-31,33629
age50-64,2021-07-31,9686
age65,2021-07-31,3059
age12-17,2021-07-31,14248
age5-11,2021-07-31,34
age18-49,2021-07-30,53365
age50-64,2021-07-30,16088
age65,2021-07-30,5909
age12-17,2021-07-30,22653
age5-11,2021-07-30,36
age18-49,2021-07-29,44970
age50-64,2021-07-29,12742
age65,2021-07-29,5538
age12-17,2021-07-29,19311
age5-11,2021-07-29,34
age18-49,2021-07-28,47055
age50-64,2021-07-28,13306
age65,2021-07-28,5543
age12-17,2021-07-28,19443
age5-11,2021-07-28,19
age18-49,2021-07-27,46554
age50-64,2021-07-27,13598
age65,2021-07-27,5613
age12-17,2021-07-27,20088
age5-11,2021-07-27,28
age18-49,2021-07-26,40235
age50-64,2021-07-26,11890
age65,2021-07-26,4580
age12-17,2021-07-26,15771
age5-11,2021-07-26,23
age18-49,2021-07-25,15100
age50-64,2021-07-25,4133
age65,2021-07-25,1254
age12-17,2021-07-25,5335
age5-11,2021-07-25,14
age18-49,2021-07-24,31479
age50-64,2021-07-24,9957
age65,2021-07-24,3062
age12-17,2021-07-24,12108
age5-11,2021-07-24,24
age18-49,2021-07-23,49913
age50-64,2021-07-23,15678
age65,2021-07-23,5816
age12-17,2021-07-23,21467
age5-11,2021-07-23,38
age18-49,2021-07-22,42390
age50-64,2021-07-22,12685
age65,2021-07-22,5268
age12-17,2021-07-22,18194
age5-11,2021-07-22,28
age18-49,2021-07-21,42084
age50-64,2021-07-21,12637
age65,2021-07-21,5095
age12-17,2021-07-21,18446
age5-11,2021-07-21,26
age18-49,2021-07-20,43003
age50-64,2021-07-20,12862
age65,2021-07-20,5073
age12-17,2021-07-20,19185
age5-11,2021-07-20,28
age18-49,2021-07-19,37580
age50-64,2021-07-19,11258
age65,2021-07-19,4252
age12-17,2021-07-19,17334
age5-11,2021-07-19,24
age18-49,2021-07-18,15543
age50-64,2021-07-18,4035
age65,2021-07-18,1216
age12-17,2021-07-18,6085
age5-11,2021-07-18,15
age18-49,2021-07-17,30439
age50-64,2021-07-17,9362
age65,2021-07-17,2837
age12-17,2021-07-17,13536
age5-11,2021-07-17,25
age18-49,2021-07-16,46549
age50-64,2021-07-16,14275
age65,2021-07-16,5191
age12-17,2021-07-16,20745
age5-11,2021-07-16,27
age18-49,2021-07-15,38485
age50-64,2021-07-15,10975
age65,2021-07-15,4585
age12-17,2021-07-15,17427
age5-11,2021-07-15,31
age18-49,2021-07-14,38071
age50-64,2021-07-14,11105
age65,2021-07-14,4586
age12-17,2021-07-14,16971
age5-11,2021-07-14,24
age18-49,2021-07-13,39790
age50-64,2021-07-13,11144
age65,2021-07-13,4662
age12-17,2021-07-13,17911
age5-11,2021-07-13,17
age18-49,2021-07-12,37070
age50-64,2021-07-12,10649
age65,2021-07-12,4123
age12-17,2021-07-12,17347
age5-11,2021-07-12,16
age18-49,2021-07-11,14158
age50-64,2021-07-11,3796
age65,2021-07-11,1182
age12-17,2021-07-11,5510
age5-11,2021-07-11,8
age18-49,2021-07-10,29419
age50-64,2021-07-10,8788
age65,2021-07-10,2604
age12-17,2021-07-10,13667
age5-11,2021-07-10,17
age18-49,2021-07-09,46680
age50-64,2021-07-09,14231
age65,2021-07-09,5200
age12-17,2021-07-09,20677
age5-11,2021-07-09,25
age18-49,2021-07-08,39586
age50-64,2021-07-08,11643
age65,2021-07-08,4954
age12-17,2021-07-08,18217
age5-11,2021-07-08,35
age18-49,2021-07-07,41705
age50-64,2021-07-07,11740
age65,2021-07-07,5060
age12-17,2021-07-07,19441
age5-11,2021-07-07,20
age18-49,2021-07-06,47457
age50-64,2021-07-06,14278
age65,2021-07-06,5819
age12-17,2021-07-06,23392
age5-11,2021-07-06,23
age18-49,2021-07-05,23760
age50-64,2021-07-05,7266
age65,2021-07-05,2580
age12-17,2021-07-05,9405
age5-11,2021-07-05,21
age18-49,2021-07-04,2147
age50-64,2021-07-04,777
age65,2021-07-04,226
age12-17,2021-07-04,594
age18-49,2021-07-03,26398
age50-64,2021-07-03,8322
age65,2021-07-03,2558
