item_id,date,p10,p50,p90
age18-49,2021-11-24T00:00:00Z,6747.64418267319,57886.20980903266,109024.77543539213
age18-49,2021-11-25T00:00:00Z,7053.961074908373,58764.35656052512,110474.75204614186
age18-49,2021-11-26T00:00:00Z,11127.404804060738,63425.12020922868,115722.83561439661
age18-49,2021-11-27T00:00:00Z,-12776.4953363194,40301.78229542429,93380.05992716798
age18-49,2021-11-28T00:00:00Z,-36438.45747945687,17652.70921436001,71743.87590817688
age18-49,2021-11-29T00:00:00Z,-11470.471605622843,43710.97274140567,98892.41708843419
age18-49,2021-11-30T00:00:00Z,510.4346548476169,56648.93542599191,112787.43619713621
age18-49,2021-12-01T00:00:00Z,838.3168112770727,57723.938877309025,114609.56094334097
age18-49,2021-12-02T00:00:00Z,1444.363084253957,58942.77929713764,116441.19551002132
age18-49,2021-12-03T00:00:00Z,5668.6658857634175,63777.11458129277,121885.56327682213
age18-49,2021-12-04T00:00:00Z,-18262.17883665234,40560.926906194654,99384.03264904165
age18-49,2021-12-05T00:00:00Z,-42015.45169805925,17650.864100133527,77317.17989832631
age18-49,2021-12-06T00:00:00Z,-17075.342670012556,43482.54510516678,104040.43288034611
age18-49,2021-12-07T00:00:00Z,-5001.443047505185,56381.28229775162,117764.00764300843
age18-49,2021-12-08T00:00:00Z,-4480.573484068285,57607.87136976075,119696.31622358979
age18-49,2021-12-09T00:00:00Z,-3669.2165877459047,59039.64343583619,121748.50345941828
age18-49,2021-12-10T00:00:00Z,672.8974146810651,63992.6309275885,127312.36444049593
age18-49,2021-12-11T00:00:00Z,-23255.968447800966,40730.401840331964,104716.77212846489
age18-49,2021-12-12T00:00:00Z,-47062.542910214244,17662.474446914413,82387.49180404306
age18-49,2021-12-13T00:00:00Z,-22145.063422903906,43348.2667349364,108841.5968927767
age18-49,2021-12-14T00:00:00Z,-10013.986737788022,56212.86204141568,122439.7108206194
age18-49,2021-12-15T00:00:00Z,-9364.852381021723,57526.57740565271,124418.00719232715
age18-49,2021-12-16T00:00:00Z,-8410.96079234808,59090.859911703345,126592.68061575477
age18-49,2021-12-17T00:00:00Z,-3977.3363023261118,64123.97918749767,132225.29467732145
age18-49,2021-12-18T00:00:00Z,-27889.147694216714,40840.51564037325,109570.1789749632
age18-49,2021-12-19T00:00:00Z,-51720.66636184863,17677.596611699024,87075.85958524668
age18-49,2021-12-20T00:00:00Z,-26814.655591559327,43269.95471574725,113354.56502305382
age18-49,2021-12-21T00:00:00Z,-14644.670488321186,56107.34725996463,126859.36500825043
age18-49,2021-12-22T00:00:00Z,-13908.125509940197,57470.57182106915,128849.26915207849
age18-49,2021-12-23T00:00:00Z,-12853.744605228603,59116.964421467455,131087.67344816352
age18-49,2021-12-24T00:00:00Z,-8349.036860152934,64203.64751979096,136756.33189973485
age18-49,2021-12-25T00:00:00Z,-32237.1585817246,40911.63522868406,114060.42903909273
age18-49,2021-12-26T00:00:00Z,-56075.15773152091,17691.873950266316,91458.90563205353
age18-49,2021-12-27T00:00:00Z,-31170.775159451732,43224.69170864638,117620.15857674449
age18-49,2021-12-28T00:00:00Z,-18971.478877848458,56041.527317908454,131054.53351366537
age18-49,2021-12-29T00:00:00Z,-18173.395899705,57432.50312843326,133038.4021565715
age18-49,2021-12-30T00:00:00Z,-17046.76425758085,59129.55586341705,135305.87598441495
age18-49,2021-12-31T00:00:00Z,-12486.516115468556,64251.726778080054,140989.96967162867
age18-49,2022-01-01T00:00:00Z,-36349.02734090157,40957.31642900328,118263.66019890812
age18-49,2022-01-02T00:00:00Z,-60182.41918512182,17703.7448641081,95589.90891333802
age18-49,2022-01-03T00:00:00Z,-35272.6357950164,43198.8016952711,121670.2391855586
age18-49,2022-01-04T00:00:00Z,-23049.32149656322,56000.64470328264,135050.61090312852
age18-49,2022-01-05T00:00:00Z,-22206.214562941546,57406.91577813156,137020.04611920466
age18-49,2022-01-06T00:00:00Z,-21026.356195298322,59135.087803622235,139296.5318025428
age18-49,2022-01-07T00:00:00Z,-16422.22832059808,64280.58734762222,144983.40301584252
age18-49,2022-01-08T00:00:00Z,-40259.63814961862,40986.50665551005,122232.65146063872
age18-49,2022-01-09T00:00:00Z,-64082.26305398312,17712.95603908861,99508.17513216034
age18-49,2022-01-10T00:00:00Z,-39162.62748168931,43184.17431289464,125530.9761074786
age18-49,2022-01-11T00:00:00Z,-26918.46015268349,55975.36031160965,138869.1807759028
age18-49,2022-01-12T00:00:00Z,-26041.016313865897,57389.88205187906,140820.78041762402
age18-49,2022-01-13T00:00:00Z,-24820.821711802142,59137.084096770166,143094.98990534246
age18-49,2022-01-14T00:00:00Z,-20181.49623290482,64297.812241316344,148777.12071553752
age18-49,2022-01-15T00:00:00Z,-43995.42879573481,41005.06796056399,126005.56471686279
age18-49,2022-01-16T00:00:00Z,-67804.22955387393,17719.796958504216,103243.82347088236
age18-49,2022-01-17T00:00:00Z,-42872.23615157283,43176.03278519642,129224.30172196566
age18-49,2022-01-18T00:00:00Z,-30609.33206129405,55959.79067315194,142528.91340759792
age18-49,2022-01-19T00:00:00Z,-29704.61163770662,57378.63716532312,144461.88596835284
age18-49,2022-01-20T00:00:00Z,-28452.90054312678,59137.42240312676,146727.7453493803
age18-49,2022-01-21T00:00:00Z,-23784.832083114685,64308.028656051145,152400.88939521697
age18-49,2022-01-22T00:00:00Z,-47577.30919605935,41016.81541513588,129610.94002633111
age18-49,2022-01-23T00:00:00Z,-71371.09582365511,17724.724830667394,106820.54548498991
age18-49,2022-01-24T00:00:00Z,-46425.57716549146,43171.585213541795,132768.74759257503
age18-49,2022-01-25T00:00:00Z,-34145.53058320368,55950.24559946408,146046.02178213184
age18-49,2022-01-26T00:00:00Z,-33218.328898255015,57371.268765219516,147960.86642869405
age18-49,2022-01-27T00:00:00Z,-31941.22261828625,59137.07030574168,150215.36322976963
age18-49,2022-01-28T00:00:00Z,-27249.22884144891,64314.046779129734,155877.32239970838
age18-49,2022-01-29T00:00:00Z,-51022.30285202456,41024.21681619255,133070.73648440966
age18-49,2022-01-30T00:00:00Z,-74800.95912470928,17728.195120865596,110257.34936644047
age18-49,2022-01-31T00:00:00Z,-49841.611539500664,43169.21391584886,136180.0393711984
age18-49,2022-02-01T00:00:00Z,-37545.74470451476,55944.42055722744,149434.58581896964
age18-49,2022-02-02T00:00:00Z,-36599.431057834765,57366.472690427516,151332.3764386898
age18-49,2022-02-03T00:00:00Z,-35301.259485756156,59136.502526574455,153574.26453890506
age18-49,2022-02-04T00:00:00Z,-30588.968072277967,64317.56482982166,159224.0977319213
age18-49,2022-02-05T00:00:00Z,-54344.551651161986,41028.859508834015,136402.27066883002
age18-49,2022-02-06T00:00:00Z,-78108.54320762091,17730.596274006,113569.73575563292
age18-49,2022-02-07T00:00:00Z,-53135.58875975696,43167.99090877087,139471.5705772987
age18-49,2022-02-08T00:00:00Z,-40825.065963058914,55940.882524343826,152706.83101174657
